close_ts,btceur close_value
2020-01-04 01:00:00,6244.33
2020-01-05 01:00:00,6558.96
2020-01-06 01:00:00,6590.9
2020-01-07 01:00:00,6568.18
2020-01-08 01:00:00,6942.65
2020-01-09 01:00:00,7353.14
2020-01-10 01:00:00,7209.85
2020-01-11 01:00:00,7059.9
2020-01-12 01:00:00,7350.0
2020-01-13 01:00:00,7213.35
2020-01-14 01:00:00,7352.97
2020-01-15 01:00:00,7288.12
2020-01-16 01:00:00,7895.5
2020-01-17 01:00:00,7906.51
2020-01-18 01:00:00,7816.48
2020-01-19 01:00:00,8025.0
2020-01-20 01:00:00,8067.93
2020-01-21 01:00:00,7853.71
2020-01-22 01:00:00,7754.25
2020-01-23 01:00:00,7880.0
2020-01-24 01:00:00,7771.01
2020-01-25 01:00:00,7566.48
2020-01-26 01:00:00,7599.48
2020-01-27 01:00:00,7534.04
2020-01-28 01:00:00,7780.67
2020-01-29 01:00:00,8055.42
2020-01-30 01:00:00,8518.09
2020-01-31 01:00:00,8424.04
2020-02-01 01:00:00,8618.47
2020-02-02 01:00:00,8425.26
2020-02-03 01:00:00,8458.46
2020-02-04 01:00:00,8399.73
2020-02-05 01:00:00,8411.62
2020-02-06 01:00:00,8322.97
2020-02-07 01:00:00,8753.44
2020-02-08 01:00:00,8883.18
2020-02-09 01:00:00,8931.97
2020-02-10 01:00:00,9050.22
2020-02-11 01:00:00,9265.3
2020-02-12 01:00:00,9010.83
2020-02-13 01:00:00,9424.06
2020-02-14 01:00:00,9497.98
2020-02-15 01:00:00,9410.51
2020-02-16 01:00:00,9552.0
2020-02-17 01:00:00,9100.0
2020-02-18 01:00:00,9129.29
2020-02-19 01:00:00,8939.41
2020-02-20 01:00:00,9426.61
2020-02-21 01:00:00,8920.0
2020-02-22 01:00:00,8891.81
2020-02-23 01:00:00,8925.63
2020-02-24 01:00:00,8914.87
2020-02-25 01:00:00,9200.13
2020-02-26 01:00:00,8854.58
2020-02-27 01:00:00,8605.13
2020-02-28 01:00:00,8056.25
2020-02-29 01:00:00,8013.08
2020-03-01 01:00:00,7919.38
2020-03-02 01:00:00,7748.25
2020-03-03 01:00:00,7707.54
